70
18
// Format: Font styles - normal, bold, italic and bold italic:
// character x y w h x y w h x y w h x y w h
! 0 0 14 65 779 130 14 65 542 325 26 65 566 585 26 65 
E 0 65 35 65 766 195 35 65 0 455 48 65 0 715 48 65 
F 35 65 34 65 801 195 34 65 48 455 47 65 48 715 47 65 
G 69 65 40 65 835 195 40 65 95 455 53 65 95 715 53 65 
H 109 65 36 65 875 195 36 65 148 455 48 65 148 715 48 65 
I 145 65 14 65 911 195 14 65 196 455 26 65 196 715 26 65 
J 159 65 30 65 925 195 30 65 222 455 42 65 222 715 42 65 
K 189 65 36 65 955 195 36 65 264 455 50 65 264 715 50 65 
L 225 65 30 65 0 260 30 65 314 455 43 65 314 715 43 65 
M 255 65 49 65 30 260 49 65 357 455 61 65 357 715 61 65 
N 304 65 39 65 79 260 39 65 418 455 51 65 418 715 51 65 
O 343 65 42 65 118 260 42 65 469 455 55 65 469 715 55 65 
P 385 65 38 65 160 260 38 65 524 455 51 65 524 715 51 65 
Q 423 65 42 65 198 260 42 65 575 455 55 65 575 715 55 65 
R 465 65 38 65 240 260 38 65 630 455 51 65 630 715 51 65 
S 503 65 42 65 278 260 42 65 681 455 54 65 681 715 54 65 
T 545 65 36 65 320 260 36 65 735 455 50 65 735 715 50 65 
U 581 65 38 65 356 260 38 65 785 455 51 65 785 715 51 65 
V 619 65 44 65 394 260 44 65 836 455 58 65 836 715 58 65 
W 663 65 58 65 438 260 58 65 894 455 71 65 894 715 71 65 
X 721 65 38 65 496 260 38 65 0 520 52 65 0 780 52 65 
Y 759 65 38 65 534 260 38 65 52 520 52 65 52 780 52 65 
Z 797 65 39 65 572 260 39 65 104 520 51 65 104 780 51 65 
[ 836 65 19 65 611 260 19 65 155 520 32 65 155 780 32 65 
\ 855 65 25 65 630 260 25 65 187 520 39 65 187 780 39 65 
] 880 65 19 65 655 260 19 65 226 520 31 65 226 780 31 65 
^ 899 65 19 65 674 260 19 65 257 520 33 65 257 780 33 65 
_ 918 65 28 66 693 260 28 66 290 520 42 66 290 780 42 66 
` 946 65 12 65 721 260 12 65 332 520 26 65 332 780 26 65 
a 958 65 31 65 733 260 31 65 358 520 44 65 358 780 44 65 
b 989 65 33 65 764 260 33 65 402 520 46 65 402 780 46 65 
c 0 130 27 65 797 260 27 65 448 520 40 65 448 780 40 65 
d 27 130 33 65 824 260 33 65 488 520 45 65 488 780 45 65 
e 60 130 27 65 857 260 27 65 533 520 40 65 533 780 40 65 
f 87 130 24 65 884 260 24 65 573 520 37 65 573 780 37 65 
g 111 130 32 67 908 260 32 67 610 520 45 67 610 780 45 67 
h 143 130 31 65 940 260 31 65 655 520 44 65 655 780 44 65 
i 174 130 13 65 971 260 13 65 699 520 25 65 699 780 25 65 
j 187 130 18 66 984 260 18 66 724 520 30 66 724 780 30 66 
k 205 130 32 65 1002 260 22 65 754 520 45 65 754 780 45 65 
l 237 130 13 65 0 325 13 65 799 520 25 65 799 780 25 65 
m 250 130 44 65 13 325 44 65 824 520 57 65 824 780 57 65 
n 294 130 31 65 57 325 31 65 881 520 43 65 881 780 43 65 
o 325 130 32 65 88 325 32 65 924 520 45 65 924 780 45 65 
p 357 130 33 66 120 325 33 66 969 520 46 66 969 780 46 66 
q 390 130 33 66 153 325 33 66 0 585 45 66 0 845 45 66 
r 423 130 26 65 186 325 26 65 45 585 39 65 45 845 39 65 
s 449 130 32 65 212 325 32 65 84 585 44 65 84 845 44 65 
t 481 130 24 65 244 325 24 65 128 585 37 65 128 845 37 65 
u 505 130 31 65 268 325 31 65 165 585 43 65 165 845 43 65 
v 536 130 33 65 299 325 33 65 208 585 47 65 208 845 47 65 
w 569 130 50 65 332 325 50 65 255 585 63 65 255 845 63 65 
x 619 130 32 65 382 325 32 65 318 585 45 65 318 845 45 65 
y 651 130 31 67 414 325 31 67 363 585 43 67 363 845 43 67 
z 682 130 29 65 445 325 29 65 406 585 42 65 406 845 42 65 
{ 711 130 20 65 474 325 20 65 448 585 32 65 448 845 32 65 
| 731 130 12 65 494 325 12 65 480 585 24 65 480 845 24 65 
} 743 130 20 65 506 325 20 65 504 585 32 65 504 845 32 65 
~ 763 130 16 65 526 325 16 65 536 585 30 65 536 845 30 65 
