28
9
// Format: Font styles - normal, bold, italic and bold italic:
// character x y w h x y w h x y w h x y w h
! 0 0 4 26 24 26 6 26 233 52 10 26 813 78 12 26 
g 802 0 12 26 966 26 14 26 435 78 17 26 123 130 19 26 
h 814 0 11 26 980 26 13 26 452 78 17 26 142 130 19 26 
i 825 0 4 26 993 26 6 26 469 78 10 26 161 130 12 26 
j 829 0 6 26 999 26 8 26 479 78 12 26 173 130 14 26 
k 835 0 12 26 1007 26 14 26 491 78 18 26 187 130 20 26 
l 847 0 4 26 0 52 6 26 509 78 10 26 207 130 12 26 
m 851 0 17 26 6 52 19 26 519 78 22 26 219 130 24 26 
n 868 0 11 26 25 52 13 26 541 78 17 26 243 130 19 26 
o 879 0 12 26 38 52 14 26 558 78 18 26 262 130 20 26 
p 891 0 12 26 52 52 14 26 576 78 18 26 282 130 20 26 
q 903 0 12 26 66 52 14 26 594 78 17 26 302 130 19 26 
r 915 0 9 26 80 52 11 26 611 78 15 26 321 130 17 26 
s 924 0 12 26 91 52 14 26 626 78 17 26 338 130 19 26 
t 936 0 8 26 105 52 10 26 643 78 14 26 357 130 16 26 
u 944 0 11 26 115 52 13 26 657 78 17 26 373 130 19 26 
v 955 0 13 26 128 52 15 26 674 78 19 26 392 130 21 26 
w 968 0 17 26 143 52 19 26 693 78 22 26 413 130 24 26 
x 985 0 12 26 162 52 14 26 715 78 18 26 437 130 20 26 
y 997 0 11 26 176 52 13 26 733 78 17 26 457 130 19 26 
z 1008 0 10 26 189 52 12 26 750 78 16 26 476 130 18 26 
{ 0 26 7 26 201 52 9 26 766 78 13 26 494 130 15 26 
| 7 26 4 26 210 52 6 26 779 78 9 26 509 130 11 26 
} 11 26 7 26 216 52 9 26 788 78 13 26 520 130 15 26 
~ 18 26 6 26 225 52 8 26 801 78 12 26 535 130 14 26 
